intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
104.000000;10429699;2023-04-01;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304010000;TrafficFlowObserved;bicycle;False
154.000000;10429699;2023-04-02;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304020000;TrafficFlowObserved;bicycle;False
112.000000;10429699;2023-04-03;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304030000;TrafficFlowObserved;bicycle;False
131.000000;10429699;2023-04-04;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304040000;TrafficFlowObserved;bicycle;False
0.000000;10429699;2023-04-05;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304050000;TrafficFlowObserved;bicycle;False
126.000000;10429699;2023-04-06;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304060000;TrafficFlowObserved;bicycle;False
118.000000;10429699;2023-04-07;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304070000;TrafficFlowObserved;bicycle;False
146.000000;10429699;2023-04-08;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304080000;TrafficFlowObserved;bicycle;False
111.000000;10429699;2023-04-09;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304090000;TrafficFlowObserved;bicycle;False
165.000000;10429699;2023-04-10;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304100000;TrafficFlowObserved;bicycle;False
102.000000;10429699;2023-04-11;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304110000;TrafficFlowObserved;bicycle;False
85.000000;10429699;2023-04-12;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304120000;TrafficFlowObserved;bicycle;False
116.000000;10429699;2023-04-13;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304130000;TrafficFlowObserved;bicycle;False
79.000000;10429699;2023-04-14;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304140000;TrafficFlowObserved;bicycle;False
114.000000;10429699;2023-04-15;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304150000;TrafficFlowObserved;bicycle;False
183.000000;10429699;2023-04-16;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304160000;TrafficFlowObserved;bicycle;False
89.000000;10429699;2023-04-17;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304170000;TrafficFlowObserved;bicycle;False
113.000000;10429699;2023-04-18;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304180000;TrafficFlowObserved;bicycle;False
137.000000;10429699;2023-04-19;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304190000;TrafficFlowObserved;bicycle;False
144.000000;10429699;2023-04-20;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304200000;TrafficFlowObserved;bicycle;False
102.000000;10429699;2023-04-21;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304210000;TrafficFlowObserved;bicycle;False
89.000000;10429699;2023-04-22;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304220000;TrafficFlowObserved;bicycle;False
117.000000;10429699;2023-04-23;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304230000;TrafficFlowObserved;bicycle;False
92.000000;10429699;2023-04-24;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304240000;TrafficFlowObserved;bicycle;False
114.000000;10429699;2023-04-25;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304250000;TrafficFlowObserved;bicycle;False
139.000000;10429699;2023-04-26;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304260000;TrafficFlowObserved;bicycle;False
125.000000;10429699;2023-04-27;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304270000;TrafficFlowObserved;bicycle;False
114.000000;10429699;2023-04-28;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304280000;TrafficFlowObserved;bicycle;False
101.000000;10429699;2023-04-29;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304290000;TrafficFlowObserved;bicycle;False
70.000000;10429699;2023-04-30;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202304300000;TrafficFlowObserved;bicycle;False
192.000000;10429699;2023-05-01;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202305010000;TrafficFlowObserved;bicycle;False
119.000000;10429699;2023-05-02;3.893790;43.629590;MMM_EcoCompt_X2H20104132_202305020000;TrafficFlowObserved;bicycle;False
